ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q741462,Henry Sewell,1870-06-13,1871-10-30,,Q15486050
2,Q15486050,John Bathgate,1872-10-29,1874-02-20,Q741462,Q6793394
3,Q6793394,Maurice O'Rorke,1874-02-20,1874-08-13,Q15486050,Q5075706
4,Q5075706,Charles Bowen (New Zealand politician),1874-12-16,1877-10-13,Q6793394,Q6257540
5,Q6257540,John Sheehan (New Zealand politician),1877-10-13,1879-10-08,Q5075706,Q8017737
6,Q8017737,William Rolleston,1880-12-15,1881-04-13,Q6257540,Q7788967
7,Q7788967,Thomas Dick (politician),1881-04-13,1882-10-11,Q8017737,Q5342388
8,Q5342388,Edward Conolly (judge),1882-10-11,1884-08-16,Q7788967,Q6287448
9,Q6287448,Joseph Tole,1884-08-16,1887-10-08,Q5342388,Q7789557
10,Q7789557,Thomas Fergus,1887-10-08,1889-10-17,Q6287448,Q8017848
11,Q8017848,William Russell (New Zealand politician),1889-10-17,1891-01-24,Q7789557,Q2580230
12,Q2580230,William Pember Reeves,1891-01-24,1892-05-28,Q8017848,Q4722414
13,Q4722414,Alfred Cadman,1892-05-28,1893-05-01,Q2580230,Q2580230
,Q2580230,William Pember Reeves,1893-07-20,1893-09-06,Q4722414,Q4722414
,Q4722414,Alfred Cadman,1893-09-06,1895-03-28,Q2580230,Q2580230
,Q2580230,William Pember Reeves,1895-03-28,1896-01-10,Q4722414,Q446283
14,Q446283,William Hall-Jones,1896-01-10,1896-03-02,Q2580230,Q7794438
15,Q7794438,Thomas Thompson (New Zealand politician),1896-03-02,1900-01-23,Q446283,Q6139346
16,Q6139346,James McGowan (politician),1900-01-23,1909-01-06,Q7794438,Q6233141
17,Q6233141,John Findlay (New Zealand politician),1909-01-06,1911-12-26,Q6139346,Q6290507
18,Q6290507,Josiah Hanan,1912-03-28,1912-07-10,Q6233141,Q4719123
19,Q4719123,Alexander Herdman,1912-07-10,1915-08-12,Q6290507,Q7347577
20,Q7347577,Robert McNab,1915-08-12,1917-02-20,Q4719123,Q6290507
,Q6290507,Josiah Hanan,1917-02-20,1917-11-14,Q7347577,Q3990691
21,Q3990691,Thomas Wilford,1917-11-14,1919-08-25,Q6290507,Q731342
22,Q731342,Gordon Coates,1919-09-04,1920-04-03,Q3990691,Q5393444
23,Q5393444,Ernest Lee,1920-04-03,1923-01-13,Q731342,Q742508
24,Q742508,Francis Bell (New Zealand politician),1923-01-13,1923-06-27,Q5393444,Q6140966
25,Q6140966,James Parr (politician),1923-06-27,1926-01-18,Q742508,Q5489264
26,Q5489264,Frank Rolleston,1926-01-18,1928-11-26,Q6140966,Q8007976
27,Q8007976,William Downie Stewart Jr,1928-11-26,1928-12-10,Q5489264,Q3990691
,Q3990691,Thomas Wilford,1928-12-10,1929-12-10,Q8007976,Q7793965
28,Q7793965,Thomas Sidey,1929-12-18,1930-05-28,Q3990691,Q6226454
29,Q6226454,John Cobbe,1930-05-28,1935-12-06,Q7793965,Q7319248
30,Q7319248,Rex Mason,1935-12-06,1949-12-13,Q6226454,Q958022
31,Q958022,Clifton Webb (politician),1949-12-13,1954-11-26,Q7319248,Q284733
32,Q284733,Jack Marshall,1954-11-26,1957-12-12,Q958022,Q7319248
,Q7319248,Rex Mason,1957-12-12,1960-12-12,Q284733,Q3418260
33,Q3418260,Ralph Hanan,1960-12-12,1969-07-24,Q7319248,Q5214276
34,Q5214276,Dan Riddiford,1969-12-22,1972-02-09,Q3418260,Q7372995
35,Q7372995,Roy Jack,1972-02-09,1972-12-08,Q5214276,Q6777626
36,Q6777626,Martyn Finlay,1972-12-08,1975-12-12,Q7372995,Q5239979
37,Q5239979,David Thomson (New Zealand politician),1975-12-12,1978-12-13,Q6777626,Q6135999
38,Q6135999,Jim McLay,1978-12-13,1984-07-26,Q5239979,Q1385100
39,Q1385100,Geoffrey Palmer (politician),1984-07-26,1989-08-04,Q6135999,Q4909598
40,Q4909598,Bill Jeffries,1989-08-04,1990-11-02,Q1385100,Q5300516
41,Q5300516,Doug Graham,1990-11-02,1999-02-01,Q4909598,Q7823330
42,Q7823330,Tony Ryall,1999-02-01,1999-12-10,Q5300516,Q597909
43,Q597909,Phil Goff,1999-12-10,2005-10-19,Q7823330,Q6766942
44,Q6766942,Mark Burton,2005-10-19,2007-10-31,Q597909,Q4769089
45,Q4769089,Annette King,2007-10-31,2008-11-19,Q6766942,Q7519563
46,Q7519563,Simon Power,2008-11-19,2011-12-12,Q4769089,Q6303349
47,Q6303349,Judith Collins,2011-12-12,2014-08-30,Q7519563,Q5106549
,Q5106549,Chris Finlayson,2014-08-30,2014-10-08,Q6303349,Q4451142
48,Q4451142,Amy Adams (politician),2014-10-08,2017-10-26,Q5106549,Q3561087
49,Q3561087,Andrew Little (New Zealand politician),2017-10-26,,Q4451142,
